sourceHandle,sourceTitle,sourceImage,sourceCode,referenceCount,cand1_gid,cand1_handle,cand1_title,cand1_score,cand2_gid,cand2_handle,cand2_title,cand2_score,cand3_gid,cand3_handle,cand3_title,cand3_score,accepted_gid
knedlik-v-krku-bonbony-bio,Knedlík v krku - bonbony bio,https://www.sonnentor.com/cz/product-images/00491/34825/image-thumb__34825__product-teaser-img/Bonbony%20Knedl%C3%ADk%20v%20krku.7fe92b13.jpg,,2,gid://shopify/Product/15821913948494,knedlik-v-krku-bio-27g-porc-dvoukomorovy,Knedlík v krku bio 27g porc. dvoukomorový,0.429,gid://shopify/Product/15821931348302,zase-dobre-knedlik-v-krku-sirup-bio-250-ml,Zase dobře! Knedlík v krku sirup bio 250 ml,0.333,,,,,
milostne-keksy-bio,Milostné keksy bio,https://www.sonnentor.com/cz/product-images/00139/34330/image-thumb__34330__product-teaser-img/00139.3c648396.jpg,00139,2,gid://shopify/Product/15821914177870,keksy-andel-strazny-bio-125-g,Keksy Anděl strážný® bio 125 g,0.333,gid://shopify/Product/15821906248014,alfalfa-bio-120-g,Alfalfa bio 120 g,0.200,gid://shopify/Product/15821907394894,saturejka-bio-20g,Saturejka bio 20g,0.200,
divoke-jablko-bio-krabicka,Divoké jablko bio balení,https://www.sonnentor.com/cz/product-images/01206/86454/image-thumb__86454__product-teaser-img/01206.ca4c7dfa.jpg,01206,4,gid://shopify/Product/15821909229902,majoranka-bio-110-g-gastro-baleni,"Majoránka bio 110 g, gastro balení",0.286,gid://shopify/Product/15821907198286,kmin-bio-cely-600-g-gastro-baleni,"Kmín bio, celý 600 g, gastro balení",0.250,gid://shopify/Product/15821907263822,kmin-bio-mlety-580-g-gastro-baleni,"Kmín bio, mletý 580 g, gastro balení",0.250,
citronova-trava-rezana-bio-krabicka2,Citronová tráva řezaná bio krabička,https://www.sonnentor.com/cz/product-images/00720/34191/image-thumb__34191__product-teaser-img/00720.7290e517.jpg,00720,3,gid://shopify/Product/15821906837838,citronova-trava-bio-syp-80g,Citronová tráva bio syp. 80g,0.429,gid://shopify/Product/15821911327054,citronova-trava-bio-etericky-olej-10ml,Citronová tráva bio éterický olej 10ml,0.375,gid://shopify/Product/15821935968590,citronova-trava-medunka-verbena-bio-216-g-porc-dvoukomorovy,"Citronová tráva Meduňka Verbena bio 21,6 g, porc. dvoukomorový",0.300,
estragon-bio-krabicka2,Estragon bio krabička,https://www.sonnentor.com/cz/product-images/00307/33397/image-thumb__33397__product-teaser-img/00307.582db914.jpg,00307,1,gid://shopify/Product/15821906248014,alfalfa-bio-120-g,Alfalfa bio 120 g,0.200,gid://shopify/Product/15821907394894,saturejka-bio-20g,Saturejka bio 20g,0.200,gid://shopify/Product/15821907427662,petrzel-bio-15g,Petržel bio 15g,0.200,
aladinovo-koreni-do-kavy-bio-krabicka,Aladinova koření do kávy,https://www.sonnentor.com/cz/product-images/00757/34389/image-thumb__34389__product-teaser-img/00757_Aladinovo%20ko%C5%99en%C3%AD%20do%20k%C3%A1vy.bef64ef9.jpg,,7,gid://shopify/Product/15821926236494,aladinovo-koreni-do-kavy-bio-35g,Aladinovo koření do kávy bio 35g,0.429,gid://shopify/Product/15821914276174,aladinovo-koreni-do-kavy-bio-35g-dozicka,Aladinovo koření do kávy bio 35g dózička,0.375,gid://shopify/Product/15821925024078,charlieho-koreni-do-kase-bio-70-g,Charlieho koření do kaše bio 70 g,0.250,
zdobeni-na-salat-bio-baleni,Zdobení na salát bio krabička,https://www.sonnentor.com/cz/product-images/00650/83124/image-thumb__83124__product-teaser-img/00650.29dca3fa.jpg,00650,6,gid://shopify/Product/15821926924622,zdobeni-na-zeleninu-bio-45-g,Zdobení na zeleninu bio 45 g,0.429,gid://shopify/Product/15821922763086,koreni-na-vejce-bio-70g,Koření na vejce bio 70g,0.250,gid://shopify/Product/15821933314382,koreni-na-burger-bio-60-g,Koření na burger bio 60 g,0.250,
kardamom-cely-bio-krabicka,Kardamom,,,1,gid://shopify/Product/15821921321294,kardamom-bio-cely-40g,"Kardamom bio, celý 40g",0.250,gid://shopify/Product/15821921386830,kardamom-bio-mlety-50g,"Kardamom bio, mletý 50g",0.250,,,,,
fenykl-olej-bio-50ml-bio,Fenykl olej bio,https://www.sonnentor.com/cz/product-images/00898/59696/image-thumb__59696__product-teaser-img/00898_fenykl_olej%20%281%29.08c89b6a.jpg,,2,gid://shopify/Product/15821907493198,fenykl-bio-40g,Fenykl bio 40g,0.500,gid://shopify/Product/15821912932686,fenykl-bio-syp-200g,Fenykl bio syp. 200g,0.400,gid://shopify/Product/15821911228750,levandule-bio-etericky-olej-10ml,Levandule bio éterický olej 10ml,0.333,
anyz-olej-bio,anýzového,https://www.sonnentor.com/cz/product-images/00896/59695/image-thumb__59695__product-teaser-img/00896_anyz_olej%20%281%29.a5a56d76.jpg,,2,,,,,,,,,,,,,
